CarrierCode,AgentCode,StatementDate,PolicyNumber,TransactionType,WrittenPremium,CommissionPercent,CommissionAmount,DueDate,ReversalIndicator
AMFA,120012,2025-04-30,YFT1489908,New,2016.63,0.0871,175.65,2025-05-15,False
LIBM,120050,2025-04-30,RBT2314896,New,1867.32,0.1146,213.99,2025-05-15,False
NATI,120224,2025-04-30,ENW5438065,New,1321.2,0.0907,119.83,2025-05-15,False
GEIC,120190,2025-04-30,TCK8953085,New,1675.39,0.0687,115.1,2025-05-15,False
ALLS,120034,2025-04-30,GYE7927219,New,1443.99,0.0776,112.05,2025-05-15,False
LIBM,120191,2025-04-30,KTF9314391,New,481.28,0.0902,43.41,2025-05-15,False
LIBM,120129,2025-04-30,SUS8725345,New,1628.35,0.1214,197.68,2025-05-15,False
GEIC,120026,2025-04-30,NXY3623079,Renewal,783.19,0.0912,71.43,2025-05-15,False
ALLS,120092,2025-04-30,GJX1158895,New,995.77,0.1122,111.73,2025-05-15,False
NATI,120038,2025-04-30,FYC7046036,Renewal,1500.0,0.1784,267.6,2025-05-15,False
NATI,120008,2025-04-30,UGU8110888,Renewal,1027.88,0.1544,158.7,2025-05-15,False
PRGS,120289,2025-04-30,YUA1335632,Renewal,4492.4,0.0542,243.49,2025-05-15,False
NATI,120260,2025-04-30,WMB7767685,New,2559.37,0.1019,260.8,2025-05-15,False
GEIC,120194,2025-04-30,YPV7816286,New,981.78,0.1023,100.44,2025-05-15,False
ALLS,120290,2025-04-30,GHH3534650,Renewal,6113.91,0.121,739.78,2025-05-15,False
TRAV,120121,2025-04-30,GKM4066207,Endorsement,-72.12,0.1535,-11.07,2025-05-15,True
HART,120252,2025-04-30,ZZT2739237,Renewal,3160.01,0.1419,448.41,2025-05-15,False
HART,120252,2026-04-30,ZZT2739237,Audit,90.68,0.1419,12.87,2026-05-15,False
TRAV,120224,2025-10-31,RHT8933869,Endorsement,34.21,0.1283,4.39,2025-11-15,False
LIBM,120105,2025-04-30,PRN2192679,Rewrite,10933.97,0.2,2186.79,2025-05-15,False
PRGS,120213,2025-04-30,RCY5145527,Renewal,2000.0,0.1062,212.4,2025-05-15,False
AMFA,120111,2025-08-31,VJZ9055983,Endorsement,55.32,0.1492,8.25,2025-09-15,False
LIBM,120061,2025-04-30,PNH5553221,Renewal,1147.88,0.1449,166.33,2025-05-15,False
ALLS,120049,2025-04-30,ZUV9320370,Renewal,856.7,0.1179,101.0,2025-05-15,False
ALLS,120228,2025-04-30,UVL7463759,Renewal,6118.03,0.169,1033.95,2025-05-15,False
PRGS,120250,2025-04-30,LVZ1107431,New,1402.47,0.0783,109.81,2025-05-15,False
HART,120024,2025-04-30,LXV9797376,Renewal,286.65,0.1328,38.07,2025-05-15,False
TRAV,120193,2025-04-30,VSV0927706,Renewal,721.13,0.1465,105.65,2025-05-15,False
TRAV,120233,2025-04-30,XRF4351228,Renewal,1500.0,0.1539,230.85,2025-05-15,False
GEIC,120266,2025-04-30,GRX9065101,Endorsement,16.59,0.08,1.33,2025-05-15,False
ALLS,120008,2025-04-30,YUF8794599,Renewal,8218.4,0.1863,1531.09,2025-05-15,False
AMFA,120242,2025-04-30,AWK8397619,Renewal,2765.73,0.1478,408.77,2025-05-15,False
NATI,120062,2025-04-30,SBU7298374,New,2419.48,0.1125,272.19,2025-05-15,False
NATI,120082,2025-04-30,DUR1583930,Renewal,1720.24,0.1399,240.66,2025-05-15,False
CHUB,120129,2025-04-30,FCL5630804,Renewal,6190.26,0.1642,1016.44,2025-05-15,False
LIBM,120221,2025-04-30,NGD6856815,New,947.41,0.1104,104.59,2025-05-15,False
PRGS,120061,2025-04-30,GFG4245712,Renewal,1717.51,0.1338,229.8,2025-05-15,False
GEIC,120150,2025-04-30,LKJ0840951,New,1619.72,0.1098,177.85,2025-05-15,False
FARM,120297,2025-04-30,HNP8786460,Renewal,318.02,0.0919,29.23,2025-05-15,False
FARM,120274,2025-04-30,VHP5609253,Renewal,1583.95,0.1242,196.73,2025-05-15,False
GEIC,120038,2026-02-28,VGW2609718,Cancel,-0.0,0.12,-0.0,2026-03-15,False
NATI,120011,2025-04-30,CCJ3598713,Renewal,3649.07,0.1063,387.9,2025-05-15,False
HART,120134,2025-11-30,UEV1362225,Cancel,-0.0,0.1309,-0.0,2025-12-15,False
TRAV,120058,2025-04-30,KCA2327314,Renewal,2714.82,0.1482,402.34,2025-05-15,False
PRGS,120283,2025-04-30,LZM2464948,Cancel,-0.0,0.1618,-0.0,2025-05-15,False
HART,120074,2025-04-30,AES2487124,New,1999.0,0.1325,264.87,2025-05-15,False
NATI,120208,2025-04-30,GVS7319377,New,941.24,0.09,84.71,2025-05-15,False
ALLS,120138,2025-04-30,ACP2542568,New,1775.66,0.1078,191.42,2025-05-15,False
NATI,120074,2026-02-28,ABB1603717,Cancel,-0.0,0.1347,-0.0,2026-03-15,False
PRGS,120285,2025-04-30,KZW1953203,Renewal,1500.0,0.1608,241.2,2025-05-15,False
FARM,120218,2025-04-30,GXW2792212,Renewal,11002.26,0.1564,1720.75,2025-05-15,False
ALLS,120206,2025-04-30,ZZS3681171,Renewal,1574.57,0.1033,162.65,2025-05-15,False
TRAV,120000,2025-04-30,WDP0714780,Renewal,5059.84,0.1335,675.49,2025-05-15,False
LIBM,120050,2025-04-30,YYK9637585,Renewal,2054.65,0.1551,318.68,2025-05-15,False
TRAV,120252,2025-04-30,GGC8058647,Renewal,6280.56,0.0817,513.12,2025-05-15,False
FARM,120260,2025-04-30,KFH6882700,Renewal,2296.95,0.0779,178.93,2025-05-15,False
FARM,120179,2025-04-30,WNC1040699,Renewal,2768.23,0.1903,526.79,2025-05-15,False
NATI,120209,2025-04-30,CDK7405589,New,1892.1,0.1139,215.51,2025-05-15,False
TRAV,120060,2025-04-30,DPP8183674,Renewal,20134.27,0.1276,2569.13,2025-05-15,False
ALLS,120037,2025-04-30,EPL2253661,Rewrite,14925.67,0.1796,2680.65,2025-05-15,False
ALLS,120037,2026-06-30,EPL2253661,Audit,-1377.4,0.1796,-247.38,2026-07-15,True
LIBM,120264,2025-04-30,ZKR8704556,Renewal,4471.67,0.0883,394.85,2025-05-15,False
TRAV,120267,2025-04-30,DKL4793441,Renewal,2793.04,0.1131,315.89,2025-05-15,False
HART,120299,2025-04-30,CRN3134839,New,2081.11,0.1063,221.22,2025-05-15,False
TRAV,120134,2025-04-30,PYN2785381,New,891.51,0.14,124.81,2025-05-15,False
ALLS,120260,2025-04-30,UJR5721533,New,543.84,0.14,76.14,2025-05-15,False
LIBM,120193,2025-04-30,UWB5200604,Renewal,1828.53,0.1456,266.23,2025-05-15,False
HART,120180,2025-04-30,MTM8600287,Renewal,1212.8,0.1296,157.18,2025-05-15,False
PRGS,120115,2025-04-30,CSV5082341,Renewal,2863.01,0.1579,452.07,2025-05-15,False
HART,120176,2025-04-30,XTD5592793,Renewal,2000.0,0.086,172.0,2025-05-15,False
FARM,120165,2025-04-30,AKA9847859,New,2501.43,0.0629,157.34,2025-05-15,False
LIBM,120270,2025-04-30,MBP2384450,New,1684.87,0.0967,162.93,2025-05-15,False
PRGS,120218,2025-04-30,SLH4174771,Renewal,14980.29,0.1052,1575.93,2025-05-15,False
PRGS,120180,2025-04-30,FNA8299620,New,678.05,0.08,54.24,2025-05-15,False
GEIC,120122,2025-04-30,LNT1785167,Renewal,5441.84,0.1262,686.76,2025-05-15,False
GEIC,120122,2026-05-31,LNT1785167,Audit,-704.28,0.1262,-88.88,2026-06-15,True
AMFA,120100,2025-04-30,AZV8603160,Renewal,1692.97,0.1428,241.76,2025-05-15,False
TRAV,120057,2025-04-30,ZFK5771169,New,970.73,0.0916,88.92,2025-05-15,False
GEIC,120095,2025-04-30,SCT3926111,Renewal,4220.32,0.0914,385.74,2025-05-15,False
AMFA,120023,2025-04-30,MVA9857159,Renewal,250.1,0.1303,32.59,2025-05-15,False
LIBM,120040,2025-04-30,CKW1994583,Renewal,1369.72,0.1429,195.73,2025-05-15,False
FARM,120222,2025-04-30,BYC6437067,New,1324.52,0.0758,100.4,2025-05-15,False
TRAV,120208,2025-04-30,NRM1984730,Renewal,1783.63,0.1133,202.09,2025-05-15,False
ALLS,120042,2025-04-30,APH9256127,New,903.66,0.1314,118.74,2025-05-15,False
FARM,120108,2025-04-30,VYV3612867,Renewal,3481.71,0.1242,432.43,2025-05-15,False
HART,120092,2025-04-30,XEE2208790,Renewal,1116.2,0.1109,123.79,2025-05-15,False
ALLS,120112,2025-04-30,ATC1996173,Renewal,1991.71,0.1257,250.36,2025-05-15,False
TRAV,120156,2025-04-30,HHX6601805,Renewal,3545.22,0.1476,523.27,2025-05-15,False
PRGS,120053,2025-04-30,YCH5041235,Renewal,10935.21,0.1437,1571.39,2025-05-15,False
TRAV,120238,2026-02-28,PCA6502468,Endorsement,10.18,0.1426,1.45,2026-03-15,False
GEIC,120125,2025-04-30,CGG6379635,New,838.2,0.1155,96.81,2025-05-15,False
LIBM,120229,2025-06-30,ACN8329153,Cancel,-0.0,0.12,-0.0,2025-07-15,False
LIBM,120229,2025-07-31,ACN8329153,Audit,-931.3,0.12,-111.76,2025-08-15,True
HART,120100,2025-04-30,RHN0524810,Cancel,-0.0,0.1677,-0.0,2025-05-15,False
HART,120100,2025-07-31,RHN0524810,Audit,-430.38,0.1677,-72.17,2025-08-15,True
NATI,120170,2025-04-30,BZC9108859,Renewal,8903.45,0.0796,708.71,2025-05-15,False
NATI,120170,2026-06-30,BZC9108859,Audit,590.2,0.0796,46.98,2026-07-15,False
PRGS,120176,2025-04-30,WFJ7298590,New,2175.81,0.0983,213.88,2025-05-15,False
PRGS,120014,2025-04-30,HRC5974264,New,1590.59,0.0877,139.49,2025-05-15,False
GEIC,120136,2025-04-30,BCP6213969,Renewal,500.0,0.1346,67.3,2025-05-15,False
PRGS,120268,2025-06-30,ZTX1115263,Endorsement,-47.62,0.1025,-4.88,2025-07-15,True
AMFA,120293,2025-04-30,EVS0116881,New,2585.87,0.094,243.07,2025-05-15,False
NATI,120298,2025-04-30,LXP8546866,New,2239.27,0.0974,218.1,2025-05-15,False
HART,120204,2025-04-30,LKJ6832161,Renewal,8782.91,0.076,667.5,2025-05-15,False
GEIC,120192,2025-04-30,JWY0564817,New,2372.55,0.099,234.88,2025-05-15,False
ALLS,120167,2025-04-30,GRV3891231,Renewal,7655.61,0.0878,672.16,2025-05-15,False
LIBM,120051,2025-04-30,JVJ0168991,Renewal,1756.51,0.1266,222.37,2025-05-15,False
NATI,120160,2025-04-30,DCW7659877,Endorsement,75.23,0.1401,10.54,2025-05-15,False
NATI,120108,2025-04-30,AVA7053800,New,1371.47,0.0755,103.55,2025-05-15,False
AMFA,120191,2025-04-30,CEZ0484850,Renewal,1500.0,0.0921,138.15,2025-05-15,False
LIBM,120255,2025-04-30,DFF1783789,New,3276.96,0.14,458.77,2025-05-15,False
AMFA,120186,2025-04-30,CSC4287006,Renewal,914.74,0.1394,127.51,2025-05-15,False
TRAV,120104,2025-04-30,MES8067786,Renewal,1678.06,0.1319,221.34,2025-05-15,False
PRGS,120218,2025-04-30,SSD0369109,Renewal,1422.25,0.1209,171.95,2025-05-15,False
LIBM,120032,2025-04-30,XRU9259726,Renewal,1450.58,0.1316,190.9,2025-05-15,False
NATI,120026,2025-12-31,XWZ6609784,Endorsement,14.55,0.1286,1.87,2026-01-15,False
ALLS,120261,2025-04-30,XYX6083116,Renewal,12456.66,0.1201,1496.04,2025-05-15,False
ALLS,120194,2025-04-30,ZSS2149332,Renewal,1070.12,0.1477,158.06,2025-05-15,False
ALLS,120221,2025-11-30,LSX7456390,Endorsement,-36.7,0.1343,-4.93,2025-12-15,True
PRGS,120223,2025-04-30,RTU9444572,Renewal,4267.93,0.1223,521.97,2025-05-15,False
FARM,120098,2025-04-30,DTY1634197,Renewal,5149.48,0.0889,457.79,2025-05-15,False
HART,120197,2025-04-30,UWB5248171,New,1651.36,0.14,231.19,2025-05-15,False
AMFA,120077,2025-04-30,JTS4147882,Renewal,1185.75,0.1014,120.24,2025-05-15,False
HART,120037,2025-04-30,LYP9801708,Renewal,3538.6,0.1026,363.06,2025-05-15,False
LIBM,120090,2025-04-30,WNA7172595,Renewal,1647.97,0.1294,213.25,2025-05-15,False
TRAV,120160,2025-04-30,TWD5919709,New,728.44,0.0793,57.77,2025-05-15,False
ALLS,120048,2025-04-30,WPG2111604,Renewal,719.56,0.141,101.46,2025-05-15,False
HART,120107,2025-04-30,KXX2488629,Renewal,783.52,0.1326,103.89,2025-05-15,False
CHUB,120008,2025-04-30,GUZ1839840,Renewal,2198.14,0.1333,293.01,2025-05-15,False
HART,120217,2025-04-30,PRH8430677,Renewal,3395.81,0.1587,538.92,2025-05-15,False
TRAV,120123,2025-04-30,MPX4867793,Renewal,16389.13,0.1235,2024.06,2025-05-15,False
HART,120087,2025-04-30,UKP8229840,New,888.34,0.1043,92.65,2025-05-15,False
LIBM,120263,2025-04-30,ZRV6249065,New,2379.04,0.1026,244.09,2025-05-15,False
CHUB,120091,2025-04-30,MRX9253457,Renewal,2657.51,0.1703,452.57,2025-05-15,False
ALLS,120042,2025-04-30,NFG5133009,New,2015.86,0.0897,180.82,2025-05-15,False
CHUB,120023,2025-04-30,UTJ6921920,Renewal,6634.37,0.1019,676.04,2025-05-15,False
GEIC,120163,2025-04-30,UWN6367879,Renewal,4010.17,0.1791,718.22,2025-05-15,False
LIBM,120208,2025-04-30,XMH3533205,Renewal,15000.0,0.1273,1909.5,2025-05-15,False
PRGS,120248,2025-04-30,THK0873579,Renewal,4380.66,0.0889,389.44,2025-05-15,False
PRGS,120078,2025-04-30,MFG5578799,Renewal,1090.37,0.0951,103.69,2025-05-15,False
TRAV,120055,2025-04-30,XUN6669875,Renewal,3426.91,0.1415,484.91,2025-05-15,False
TRAV,120143,2025-07-31,VLR0087715,Endorsement,-32.55,0.126,-4.1,2025-08-15,True
ALLS,120176,2025-04-30,JXX4690145,Renewal,508.45,0.1498,76.17,2025-05-15,False
GEIC,120198,2025-04-30,CNU2917272,Renewal,958.75,0.1658,158.96,2025-05-15,False
TRAV,120246,2025-04-30,FKD4697023,Renewal,4795.14,0.2,959.03,2025-05-15,False
GEIC,120115,2025-04-30,FFZ1055937,New,701.82,0.1345,94.39,2025-05-15,False
PRGS,120272,2025-04-30,JHS3912176,Renewal,1983.61,0.0944,187.25,2025-05-15,False
CHUB,120220,2025-04-30,JYU1205203,Renewal,8878.22,0.1047,929.55,2025-05-15,False
FARM,120164,2025-04-30,NZL2853510,Renewal,910.89,0.1235,112.49,2025-05-15,False
HART,120241,2025-04-30,HCE7584475,Renewal,500.0,0.1159,57.95,2025-05-15,False
TRAV,120271,2025-04-30,MXC0256148,Renewal,1750.72,0.1283,224.62,2025-05-15,False
FARM,120050,2025-04-30,FZS0456004,New,2007.23,0.0851,170.82,2025-05-15,False
AMFA,120268,2025-04-30,KWJ0861157,Renewal,817.62,0.168,137.36,2025-05-15,False
LIBM,120165,2025-04-30,VVH8968981,Renewal,1062.48,0.1613,171.38,2025-05-15,False
GEIC,120281,2025-04-30,TDW0448241,Renewal,12002.9,0.2,2400.58,2025-05-15,False
GEIC,120281,2026-05-31,TDW0448241,Audit,-1269.61,0.2,-253.92,2026-06-15,True
AMFA,120199,2025-04-30,PGZ5824719,New,1667.43,0.1165,194.26,2025-05-15,False
FARM,120192,2025-04-30,FKM3232487,Renewal,1239.24,0.1491,184.77,2025-05-15,False
TRAV,120276,2025-04-30,PXY6945986,New,997.88,0.14,139.7,2025-05-15,False
TRAV,120207,2025-04-30,EEX0640255,Renewal,2434.06,0.1408,342.72,2025-05-15,False
ALLS,120019,2025-04-30,EEZ8159306,Renewal,4135.78,0.1008,416.89,2025-05-15,False
HART,120056,2025-04-30,USC1734693,New,2494.86,0.0913,227.78,2025-05-15,False
AMFA,120014,2025-04-30,VCF3058914,New,1655.56,0.1166,193.04,2025-05-15,False
LIBM,120166,2025-04-30,GCA7031011,Renewal,6883.66,0.143,984.36,2025-05-15,False
FARM,120250,2025-04-30,YEW3238838,Renewal,2744.32,0.0944,259.06,2025-05-15,False
ALLS,120127,2025-04-30,WSS3441936,Renewal,7636.2,0.1288,983.54,2025-05-15,False
NATI,120259,2025-04-30,HBW4357985,Renewal,1792.91,0.1391,249.39,2025-05-15,False
LIBM,120238,2025-04-30,UVA5776913,Renewal,1008.54,0.1535,154.81,2025-05-15,False
FARM,120186,2025-04-30,YFE7321748,Renewal,906.61,0.1389,125.93,2025-05-15,False
TRAV,120161,2025-04-30,RAT7666321,New,1442.35,0.0999,144.09,2025-05-15,False
NATI,120065,2025-04-30,AZL8403094,New,1898.3,0.0933,177.11,2025-05-15,False
LIBM,120155,2025-04-30,SSS7071843,New,2709.54,0.1153,312.41,2025-05-15,False
PRGS,120085,2025-04-30,YCF9252994,New,1138.0,0.0835,95.02,2025-05-15,False
ALLS,120244,2025-04-30,UCE2403566,New,1661.72,0.0975,162.02,2025-05-15,False
FARM,120226,2025-04-30,HWY1433013,Renewal,1039.64,0.151,156.99,2025-05-15,False
CHUB,120123,2025-04-30,CWM0963025,Renewal,2000.0,0.0961,192.2,2025-05-15,False
CHUB,120123,2026-06-30,CWM0963025,Audit,-68.07,0.0961,-6.54,2026-07-15,True
FARM,120174,2025-04-30,LLS9960833,Renewal,3239.49,0.1184,383.56,2025-05-15,False
ALLS,120180,2025-04-30,LJR4326464,New,1037.74,0.1175,121.93,2025-05-15,False
FARM,120038,2025-04-30,WFD3884761,Renewal,2000.0,0.1006,201.2,2025-05-15,False
FARM,120223,2025-04-30,DDX7754694,Renewal,4777.33,0.0899,429.48,2025-05-15,False
ALLS,120247,2025-04-30,AUR9213278,Renewal,1442.9,0.0701,101.15,2025-05-15,False
ALLS,120138,2025-08-31,RUA3991891,Cancel,-0.0,0.1517,-0.0,2025-09-15,False
GEIC,120111,2025-04-30,AZG9976799,Renewal,2608.97,0.1273,332.12,2025-05-15,False
NATI,120074,2025-04-30,EZF2737624,Renewal,2878.53,0.088,253.31,2025-05-15,False
HART,120157,2025-04-30,PBJ4050672,Renewal,673.16,0.1301,87.58,2025-05-15,False
TRAV,120062,2025-04-30,TDD2083663,Renewal,2000.0,0.1143,228.6,2025-05-15,False
CHUB,120206,2025-04-30,KZG4016717,New,2955.01,0.0926,273.63,2025-05-15,False
TRAV,120262,2026-03-31,FBY6853817,Endorsement,-108.8,0.112,-12.19,2026-04-15,True
CHUB,120168,2025-04-30,SAB4762203,Renewal,1960.48,0.1007,197.42,2025-05-15,False
NATI,120084,2025-04-30,VRZ3707922,Renewal,1097.64,0.1513,166.07,2025-05-15,False
PRGS,120133,2025-04-30,XRH5987932,Renewal,4235.44,0.13,550.61,2025-05-15,False
GEIC,120044,2025-04-30,UZP7757810,Renewal,2128.73,0.1263,268.86,2025-05-15,False
AMFA,120263,2025-04-30,UKL9828131,Rewrite,9015.01,0.1533,1382.0,2025-05-15,False
HART,120160,2025-04-30,RYF8346146,New,957.52,0.1157,110.79,2025-05-15,False
NATI,120138,2026-01-31,USG5417713,Endorsement,-66.29,0.0905,-6.0,2026-02-15,True
NATI,120124,2025-04-30,FRX0510781,Renewal,1517.7,0.14,212.48,2025-05-15,False
HART,120020,2025-04-30,YTW2470372,Renewal,892.15,0.1465,130.7,2025-05-15,False
AMFA,120064,2025-04-30,XAG7700391,Renewal,8731.08,0.1356,1183.93,2025-05-15,False
HART,120148,2025-04-30,FNY1818621,New,599.51,0.0893,53.54,2025-05-15,False
ALLS,120050,2025-04-30,THA3458922,New,4000.0,0.1077,430.8,2025-05-15,False
TRAV,120057,2025-04-30,XAV1485317,New,1961.71,0.1222,239.72,2025-05-15,False
TRAV,120221,2025-04-30,GEA4123228,New,1025.08,0.0809,82.93,2025-05-15,False
PRGS,120222,2025-04-30,GAT7412226,Renewal,393.88,0.1246,49.08,2025-05-15,False
NATI,120124,2025-04-30,ETB8803280,New,690.37,0.1204,83.12,2025-05-15,False
ALLS,120134,2025-04-30,GSN6478276,Renewal,2395.53,0.1462,350.23,2025-05-15,False
HART,120099,2025-04-30,VVL4802829,New,1462.1,0.0683,99.86,2025-05-15,False
LIBM,120045,2025-04-30,ZYA1381208,Renewal,1615.83,0.0792,127.97,2025-05-15,False
FARM,120098,2025-04-30,AMK3153485,New,3623.86,0.1139,412.76,2025-05-15,False
PRGS,120273,2025-04-30,MGL9292354,New,1866.4,0.098,182.91,2025-05-15,False
HART,120041,2025-04-30,ZSN7529754,Renewal,1652.04,0.1055,174.29,2025-05-15,False
AMFA,120161,2025-04-30,LHF6149566,Renewal,1419.07,0.1488,211.16,2025-05-15,False
FARM,120225,2025-06-30,HRG5751433,Endorsement,51.99,0.1194,6.21,2025-07-15,False
GEIC,120067,2025-04-30,LSC3207488,New,1190.84,0.0907,108.01,2025-05-15,False
NATI,120176,2025-04-30,PJF1583932,Renewal,1484.65,0.1481,219.88,2025-05-15,False
TRAV,120100,2025-04-30,RXV0810115,New,4000.0,0.121,484.0,2025-05-15,False
HART,120205,2025-09-30,WYX0050044,Endorsement,-32.66,0.1574,-5.14,2025-10-15,True
GEIC,120168,2025-04-30,XHD8596292,Renewal,1104.76,0.0984,108.71,2025-05-15,False
TRAV,120060,2025-04-30,NMV4437551,Renewal,1700.36,0.088,149.63,2025-05-15,False
PRGS,120112,2025-04-30,DGX0779695,Renewal,5973.96,0.1453,868.02,2025-05-15,False
PRGS,120112,2026-06-30,DGX0779695,Audit,609.66,0.1453,88.58,2026-07-15,False
NATI,120147,2025-04-30,KWG2542407,Renewal,6556.81,0.1104,723.87,2025-05-15,False
PRGS,120032,2025-04-30,WCJ9665809,Renewal,840.4,0.1414,118.83,2025-05-15,False
HART,120019,2025-04-30,UXN4940732,Renewal,8012.64,0.1636,1310.87,2025-05-15,False
ALLS,120008,2025-04-30,PDS5044793,Renewal,2463.03,0.0984,242.36,2025-05-15,False
PRGS,120266,2025-06-30,DAP0841631,Endorsement,-21.94,0.1169,-2.56,2025-07-15,True
LIBM,120064,2025-11-30,HBT3278409,Endorsement,-71.23,0.1013,-7.22,2025-12-15,True
GEIC,120140,2025-04-30,SKW1782416,New,1322.75,0.1267,167.59,2025-05-15,False
NATI,120039,2025-04-30,ATF7668361,Renewal,6171.82,0.0795,490.66,2025-05-15,False
HART,120079,2026-01-31,FWJ6066537,Endorsement,54.79,0.1472,8.07,2026-02-15,False
PRGS,120161,2025-04-30,SRS8109934,Renewal,2440.81,0.1562,381.25,2025-05-15,False
CHUB,120010,2025-04-30,LPZ1518103,New,1444.7,0.1119,161.66,2025-05-15,False
NATI,120206,2025-04-30,UCE9191051,Renewal,937.19,0.1436,134.58,2025-05-15,False
FARM,120299,2025-04-30,MJZ9824703,Renewal,3528.24,0.1274,449.5,2025-05-15,False
NATI,120116,2025-04-30,XRL2198773,Renewal,3034.43,0.1073,325.59,2025-05-15,False
CHUB,120182,2025-04-30,MXD2912798,Renewal,25000.0,0.0869,2172.5,2025-05-15,False
PRGS,120239,2025-04-30,FJM3907261,Renewal,1965.38,0.1408,276.73,2025-05-15,False
CHUB,120012,2025-04-30,GRK1228767,Renewal,3615.89,0.1115,403.17,2025-05-15,False
TRAV,120072,2025-04-30,FNN0919209,Renewal,10491.32,0.0774,812.03,2025-05-15,False
ALLS,120011,2025-04-30,NNC4363797,New,1689.8,0.1182,199.73,2025-05-15,False
TRAV,120253,2025-04-30,DLJ7803118,Renewal,1261.81,0.1048,132.24,2025-05-15,False
HART,120206,2025-04-30,XHE6026254,New,1914.69,0.0958,183.43,2025-05-15,False
ALLS,120152,2025-04-30,TRV3129962,Renewal,1624.36,0.147,238.78,2025-05-15,False
CHUB,120170,2025-04-30,KEA2052810,Renewal,1040.4,0.133,138.37,2025-05-15,False
TRAV,120298,2025-04-30,PKE8498332,Renewal,2939.74,0.126,370.41,2025-05-15,False
HART,120106,2025-04-30,JJX2615976,Renewal,4053.22,0.1126,456.39,2025-05-15,False
NATI,120004,2025-04-30,VFU4506625,New,1321.49,0.0921,121.71,2025-05-15,False
TRAV,120053,2025-04-30,RAK1219254,Renewal,1078.48,0.1337,144.19,2025-05-15,False
PRGS,120172,2025-04-30,VJX4063694,Renewal,333.53,0.1173,39.12,2025-05-15,False
LIBM,120194,2025-04-30,JXS3891647,Renewal,9090.09,0.1122,1019.91,2025-05-15,False
GEIC,120074,2025-04-30,TYY3497952,Renewal,7458.1,0.108,805.47,2025-05-15,False
FARM,120152,2025-04-30,FAM8634220,New,1495.28,0.0606,90.61,2025-05-15,False
HART,120266,2025-04-30,CRS0292382,Renewal,3161.46,0.172,543.77,2025-05-15,False
TRAV,120222,2025-04-30,RWX3783717,Renewal,6833.03,0.1536,1049.55,2025-05-15,False
GEIC,120089,2025-04-30,CKU1694694,New,1034.87,0.1236,127.91,2025-05-15,False
TRAV,120213,2025-04-30,BHW2688853,Renewal,1230.71,0.1124,138.33,2025-05-15,False
TRAV,120153,2025-04-30,ZLX1106366,Renewal,2406.26,0.0843,202.85,2025-05-15,False
ALLS,120141,2025-04-30,NPX9247536,Rewrite,5990.63,0.1617,968.68,2025-05-15,False
LIBM,120234,2025-04-30,NLB7120809,New,1061.92,0.098,104.07,2025-05-15,False
ALLS,120295,2025-04-30,YRV6974859,New,2932.8,0.0742,217.61,2025-05-15,False
GEIC,120212,2025-04-30,GZS6817177,Renewal,2000.0,0.1196,239.2,2025-05-15,False
LIBM,120070,2025-04-30,UAD9252968,New,2225.06,0.1151,256.1,2025-05-15,False
GEIC,120045,2025-04-30,SET5041311,New,1521.79,0.087,132.4,2025-05-15,False
AMFA,120124,2025-04-30,DRB2626151,Renewal,3180.03,0.1067,339.31,2025-05-15,False
AMFA,120178,2025-04-30,WWA4374117,New,561.65,0.1081,60.71,2025-05-15,False
HART,120120,2025-04-30,NMG3424313,New,1311.14,0.1294,169.66,2025-05-15,False
NATI,120193,2025-04-30,UGW9055420,Renewal,1310.3,0.1255,164.44,2025-05-15,False
AMFA,120131,2025-04-30,CRG9756460,Renewal,1451.49,0.0804,116.7,2025-05-15,False
LIBM,120017,2025-07-31,XNG0865241,Endorsement,12.49,0.1153,1.44,2025-08-15,False
LIBM,120194,2025-04-30,BJU0422808,Renewal,9530.98,0.1097,1045.55,2025-05-15,False
PRGS,120270,2025-04-30,VZX5964423,Renewal,3587.85,0.0781,280.21,2025-05-15,False
GEIC,120114,2025-04-30,SPH9498954,Renewal,987.72,0.0979,96.7,2025-05-15,False
GEIC,120025,2025-04-30,NHP0615304,Renewal,1500.0,0.1737,260.55,2025-05-15,False
PRGS,120292,2025-04-30,XAB3195191,New,983.26,0.1043,102.55,2025-05-15,False
TRAV,120057,2025-04-30,HXP6022178,Renewal,8442.44,0.1524,1286.63,2025-05-15,False
TRAV,120005,2025-04-30,DTK4512217,Renewal,2506.03,0.1109,277.92,2025-05-15,False
TRAV,120073,2025-04-30,JVY4302560,Renewal,1191.74,0.1349,160.77,2025-05-15,False
TRAV,120063,2025-04-30,BJN5826954,Renewal,2143.69,0.131,280.82,2025-05-15,False
PRGS,120178,2026-02-28,GRX1893120,Cancel,-0.0,0.1887,-0.0,2026-03-15,False
NATI,120210,2025-04-30,JMC1701473,Renewal,2000.0,0.0904,180.8,2025-05-15,False
HART,120257,2025-04-30,RRZ3442214,New,1043.27,0.1082,112.88,2025-05-15,False
ALLS,120005,2025-04-30,HYA5282421,Renewal,7000.0,0.1456,1019.2,2025-05-15,False
ALLS,120164,2025-04-30,HEL1476713,Renewal,2785.6,0.1399,389.71,2025-05-15,False
GEIC,120240,2025-04-30,SPX3653906,Renewal,2861.43,0.1385,396.31,2025-05-15,False
ALLS,120084,2025-11-30,VNX2244271,Endorsement,19.0,0.108,2.05,2025-12-15,False
